,Direccion,Mesa,Comuna
280,SAN NICOLAS 316,70 M,San Joaquin
281,VARAS MENA 455,70 V,San Joaquin
282,VARAS MENA 455,38 M,San Joaquin
283,VARAS MENA 457,56 V,San Joaquin
284,SAN NICOLAS 277,62 V,San Joaquin
285,PRENSA 393 LA LEGUA,14 M,San Joaquin
286,AVDA VICUÑA MACKENNA 3635 2209,110 V,San Joaquin
287,INDUSTRIA 315,84 V,San Joaquin
288,PJ 12 2 13 PB J E,SAN JOAQUIN,San Joaquin
289,PJE ZAPIGA 213,25 V,San Joaquin
290,VICUÑA MACKENNA 2585 1602B CONDOMINIO VICUÑA MACKENNA 2585,125 M,San Joaquin
291,PJ RIETER 3614,61 M,San Joaquin
292,P. CICARELLI,SAN JOAQUIN,San Joaquin
293,LOS CEREZOS 4836,55 M,San Joaquin
294,LOS CEREZOS 4836,42 M,San Joaquin
295,SANTA ROSA 6028,25 M,San Joaquin
296,LIRA 2790,42 M,San Joaquin
297,VARAS MENAS 347,2 M,San Joaquin
298,AV LAS INDUSTRIAS 5927,55 M,San Joaquin
299,JUAN GRIEGO 4770,17 V,San Joaquin
300,VI POLICARPO TORO PJ 1 34 24,47 V,San Joaquin
301,JOSE INGENIEROS 3236 DEPTO. 52,28 V,San Joaquin
302,CABILDO 4371,28 M,San Joaquin
303,PB 4-32 74 PB ANIBAL PINTO,4 M,San Joaquin
304,REVERENDO JAVIER PERO 4329,41 M,San Joaquin
305,REVERENDO JAVIER PERO 4329,45 V,San Joaquin
306,AV LO OVALLE 391,86 V,San Joaquin
307,PASAJE PUERTO VARAS 5708,27 V,San Joaquin
308,CARLOS VALDOVINOS 37,44 M,San Joaquin
309,GUIDO D'AREZZO 3132 PB CHILE,135 M,San Joaquin
310,PINTOR CICARELLI 280,119 V,San Joaquin
311,PJ BUCALEMU 401 PB AMANDA HARBIN,138 M,San Joaquin
312,OTELO 3694 DEP 23,4 M,San Joaquin
313,PJ 2 A 3316 VI POLICARPO TORO,38 V,San Joaquin
314,EL PRADO 488 V CERVANTES,120 V,San Joaquin
315,CAPITAN PRAT 120,112 V,San Joaquin
316,PJ PENTAGRAMA 420 H V BERLIOZ,28 M,San Joaquin
317,CARLOS VALDOVINOS 44 BLOCK 1 DEPTO 104,98 V,San Joaquin
318,LA CASTRINA 288 A,91 V,San Joaquin
319,LA CASTRINA 267,91 V,San Joaquin
320,LA CASTRINA 288 A,107 M,San Joaquin
321,AQUILES 331,73 V,San Joaquin
322,PJ KAMINKER 6274,43 M,San Joaquin
323,"PJE JOSE TORIBIO MEDINA 389 POB, FRANCISCO ENCINA",121 M,San Joaquin
324,PJE JOSE TORIBIO MEDINA 389 POB. FRANCISCO ENCINA,131 M,San Joaquin
325,ANTARTICA 3331,62 V,San Joaquin
326,BRASILIA 6258,35 M,San Joaquin
327,COMERCIO 379,90 V,San Joaquin
328,PASAJE COPIAPO 4154,26 V,San Joaquin
329,STRAWINSKY 3240 VI LOS MUSICOS DEL MUNDO,136 M,San Joaquin
330,SALVADOR ALLENDE 140,5 V,San Joaquin
331,PASAJE RIO PALENA 3652,47 M,San Joaquin
332,GASPAR DE ESPINOZA 4130,70 M,San Joaquin
333,FRANCISCO DE CASTAÑEDA 5425 FRANCISCO DE CASTAÑEDA,124 V,San Joaquin
334,VASCONIA 173,3 M,San Joaquin
335,FRANCISCO DE CASTAÑEDA 4920 LA MUZA,123 M,San Joaquin
336,SALESIANOS 532,100 V,San Joaquin
337,PASAJE CALIPSO,SAN JOAQUIN,San Joaquin
338,VERONESSE 5390 PB SANTA ROSA DE MACUL,120 M,San Joaquin
339,AQUELANE 5370,100 M,San Joaquin
340,CANADA 5018,45 M,San Joaquin
341,DEPARTAMENTAL 200B L 19 DP 13,105 V,San Joaquin
342,PJ 22 C/268 JOAQUIN E BELLO NORTE,11 M,San Joaquin
343,AV CARLOS VALDOVINOS 988,27 M,San Joaquin
344,DOMICILIO,CIRCUNSCRIPCIÓN,San Joaquin
345,PSJE MAGALLANES 4195,98 V,San Joaquin
346,S SUMAR 3438 DP 301,112 M,San Joaquin
347,RIETEL 3438 DEP 301,33 V,San Joaquin
348,S SUMAR 3438 DP 301,112 M,San Joaquin
349,PSJE. RIETER 3438 D/301,14 M,San Joaquin
350,VIA 8 1537 SALVADOR CRUZ GANA,101 V,San Joaquin
351,PSJE PINTOR SHMIT 430,55 V,San Joaquin
352,PASAJE RUBENS 4862,36 M,San Joaquin
353,LAGO RIÑIHUE 5955,105 M,San Joaquin
354,FCA. DE RIMINI 3609,3 M,San Joaquin
355,AV. SANTA ORSA 2590 D /44,53 V,San Joaquin
356,AVDA LAS INDUSTRIAS 3267,39 M,San Joaquin
357,LAS INDUSTRIAS 3267,40 V,San Joaquin
358,AV LAS INDUSTRIAS 3267,110 V,San Joaquin
359,PB A PINTO AV LAS INDUSTRIAS 3267,45 V,San Joaquin
360,MARIA ELENA 290,66 V,San Joaquin
361,M.MAGDALENA 290,103 M,San Joaquin
362,CABILDO 4374 POB. 16 DE FEBRERO,79 M,San Joaquin
363,CABILDO 4374,53 V,San Joaquin
364,CABILDO 4374,101 V,San Joaquin
365,CASTELAR NORTE BLOCK 50 DEPTO. 2,45 V,San Joaquin
366,AV LAS INDUSTRIAS 3267,65 V,San Joaquin
367,AV LAS INDUSTRIAS 3267,59 V,San Joaquin
368,BENOZZO GOZZOLLI 5365,14 V,San Joaquin
369,CARLOS FAU 3540,88 V,San Joaquin
370,VECINAL SUR 5711,74 V,San Joaquin
371,VECINAL SUR 5711,70 M,San Joaquin
372,VECINAL SUR 5711,48 M,San Joaquin
373,PIRAMIDE 357,63 M,San Joaquin
374,ASDRUBAL 317,3 M,San Joaquin
375,PIRAMIDE 357 PB MUSSA,124 V,San Joaquin
376,TOMAS DE CAMPANELLA 4823,43 M,San Joaquin
377,TORO ZAMBRANO 3333,36 V,San Joaquin
378,ANTARTICA 3256 PB A PINTO,135 M,San Joaquin
379,LUIS E RECABARREN 5430,99 V,San Joaquin
380,SPRINGHELL 3165,61 V,San Joaquin
381,PJ TRES 3256 PB ANIBAL PINTO,6 V,San Joaquin
382,PASAJE MANUEL PLAZA 172,51 V,San Joaquin
383,CALIPSO,SAN JOAQUIN,San Joaquin
384,PJ 17 2 42 PB J E BELLO NORTE,69 M,San Joaquin
385,PJ 17 2 42 PB E BELLO NORTE,111 M,San Joaquin
386,PJ 17 242 PB J E BELLO NORTE,71 M,San Joaquin
387,JORGE BIZET 3415,69 M,San Joaquin
388,VECINAL 5632 DEPTO 12,9 V,San Joaquin
389,NICANOR DE LA SOTTA 5360,5 M,San Joaquin
390,ANTONIO GUTIERREZ 2315,71 M,San Joaquin
391,FRANCISCA DE RIMINI 3609,63 V,San Joaquin
392,FRANCISCA DE RIMINI 3609,83 M,San Joaquin
393,SIERRA BELLA 2543,96 M,San Joaquin
394,BENOZZO GOZZOLLI 4495,59 V,San Joaquin
395,PINTOR RIESCA 2759,67 M,San Joaquin
396,ZAPIGA 236,38 M,San Joaquin
397,PJE CAMPO LINDO 6338 POBL.LA CASTRINA,36 M,San Joaquin
398,PINTOR SMITH 409,77 M,San Joaquin
399,PJ COQUIMBO 160 VI ESMERALDA,34 V,San Joaquin
400,VECINAL 5711,134 M,San Joaquin
401,KARL BRUNNER 3401,34 V,San Joaquin
402,LUIS E RECABARREN 5430,122 M,San Joaquin
403,GANGES 6084,70 M,San Joaquin
404,JUAN ARAVENA 452,60 M,San Joaquin
405,GANGES 6084,92 M,San Joaquin
406,GANGES 6084,60 V,San Joaquin
407,GANGES 6084,25 M,San Joaquin
408,ARQUITECTO BRUNELESKI 3753,93 M,San Joaquin
409,RIO SERRANO 383,60 V,San Joaquin
410,RIO SERRANO 3813,75 M,San Joaquin
411,COPACABANA 409,SAN JOAQUIN,San Joaquin
412,GASPAR DE ESPINOZA 4987,65 M,San Joaquin
413,DEBUSSY 3350,46 M,San Joaquin
414,GASPAR DE ESPINOZA 4987,65 M,San Joaquin
415,COPACABANA 209 A,74 M,San Joaquin
416,SIERRA BELLA 2383,2 V,San Joaquin
417,SIERRA BELLA 2383,58 M,San Joaquin
418,PSJ. INDUSTRIA 362,20 V,San Joaquin
419,TORO ZAMBRANO,SAN JOAQUIN,San Joaquin
